
хотеть (81, 1276.75) verb
друг (99, 1040.56) noun
хороший (113, 874.37) adj
хорошо (145, 661.54) adv
любить (165, 590.09) verb
ждать (200, 488.29) verb
бояться (261, 366.66) verb
долго (268, 358.31) adv
хотеться (285, 331.97) adv
дорогой (290, 326.03) adj
нужный (296, 319.05) adj
просить (298, 315.76) verb
чувствовать (303, 311.58) verb
любовь (314, 302.11) noun
сердце (319, 297.53) noun
великий (338, 287.26) adj
добрый (405, 249.92) adj
верить (413, 245.03) verb
внимание (421, 238.36) noun
чувство (425, 236.60) noun
кровь (453, 224.55) noun
страшный (479, 212.43) adj
красивый (505, 203.20) adj
улыбаться (516, 198.30) verb
нравиться (520, 196.05) verb
вера (524, 194.45) noun
улыбнуться (525, 193.89) verb
счастье (538, 190.03) noun
почувствовать (574, 178.39) verb
простить (589, 173.41) verb
страх (614, 167.07) noun
слеза (619, 165.71) noun 
согласиться (620, 165.71) verb
холодный (633, 163.14) adj
улыбка (651, 159.36) noun
прекрасный (662, 157.04) adj
потерять (669, 154.14) verb
веселый (707, 147.96) adj
надежда (712, 147.24) noun
верный (718, 146.36) adj
дурак (732, 143.87) noun
милый (740, 142.10) adj
интересно (768, 138.25) adv
счастливый (773, 137.69) adj
удовольствие (785, 135.28) noun
радость (791, 134.31) noun
ожидать (792, 134.15) verb
плакать (793, 133.83) verb
желание (798, 133.11) noun
требовать (811, 130.78) verb
удивиться (822, 130.06) verb
надеяться (831, 128.37) verb
страшно (833, 128.21) adv
уверенный (835, 128.13) adj
горячий (859, 125.00) adj
злой (861, 124.76) adj
желать (886, 121.47) verb
воля (889, 121.31) noun
ужас (898, 119.30) noun
интерес (914, 116.89) noun
спокойный (916, 116.81) adj
здоровый (924, 116.01) adj
интересный (928, 115.77) adj
виноватый (949, 114.16) adj
серьезный (960, 112.96) adj
смех (966, 112.64) noun
понравиться (1040, 104.05) verb
впечатление (1045, 103.65) noun
мягкий (1047, 103.57) adj
честь (1060, 102.60) noun
бедный (1073, 101.48) adj
беда (1104, 98.35) noun
ощущение (1108, 98.11) noun
плохой (1130, 96.42) adj
шутка (1162, 93.93) noun
рад (1163, 93.85) adj
красота (1212, 90.64) noun
мечтать (1232, 89.44) verb
прекрасно (1233, 89.44) adv
дорогой (1241, 88.63) adv
покой (1254, 87.75) noun
жалко (1260, 87.43) adv
приятно (1267, 86.95) adv
приятный (1281, 86.31) adj
горе (1305, 84.70) noun
глупый (1306, 84.46) adj
здоровье (1389, 79.16) noun
жаль (1400, 78.68) adv
несчастный (1415, 77.80) adj
сожаление (1424, 77.55) noun
настроение (1426, 77.47) noun
волноваться (1427, 77.47) verb

удивление (1447, 76.27) noun
жалеть (1451, 76.11) verb
тоска (1455, 75.95) noun
успокоиться (1483, 75.07) verb
довольный (1501, 74.42) adj
сомнение (1506, 74.02) noun
печальный (1515, 73.78) adj
терпеть (1536, 72.90) verb
опасный (1538, 72.58) adj
испугаться (1563, 71.13) verb

тревога (1629, 68.88) noun
удивляться (1632, 68.80) verb
любопытство (1636, 68.72) noun
удивительный (1656, 67.36) adj
страсть (1694, 65.59) noun
ожидание (1698, 65.51) noun
неожиданный (1707, 65.27) adj
мечта (1711, 65.11) noun
замечательный (1717, 65.03) adj
опасность (1721, 64.87) noun
ненавидеть (1751, 63.75) verb
смешной (1752, 63.75) adj
устать (1753, 63.75) verb
радоваться (1757, 63.58) verb
нежный (1767, 63.42) adj
требоваться (1794, 62.30) verb
интересовать (1834, 60.86) verb
сомневаться (1843, 60.29) verb
благородный (1847, 60.21) adj
шутить (1855, 59.89) verb
обида (1862, 59.65) noun
страдать (1894, 58.85) verb
уважать (1911, 58.45) verb
глупость (1913, 58.37) noun
восторг (1926, 57.96) noun
волнение (1949, 57.24) noun
грубый (1957, 56.84) adj
смешно (1960, 56.76) adv
ощущать (1967, 56.52) verb
ужасный (1971, 56.44) adj
прощать (1985, 56.04) verb
просьба (1992, 55.56) noun
радостно (2017, 54.75) adv
горький (2019, 54.67) adj
забота (2022, 54.67) noun
обидеться (2031, 54.43) verb
мрачный (2033, 54.27) adj
неприятный (2055, 53.63) adj
уважение (2073, 53.23) noun
вынужденный (2104, 52.59) adj
ужасно (2118, 52.35) adv
заснуть (2125, 52.18) verb
трогать (2131, 52.10) verb
беспокоиться (2175, 50.90) verb
долг (2208, 50.18) noun
сладкий (2209, 50.18) adj
скромный (2239, 49.45) adj
смелый (2242, 49.37) adj
зло (2249, 49.21) adv
пожалеть (2256, 49.13) verb
отчаяние (2264, 48.89) noun
нервный (2277, 48.73) adj
жалкий (2306, 48.09) adj
гордость (2323, 47.69) noun
ненависть (2376, 46.56) noun
душевный (2383, 46.24) adj
грустно (2498, 43.59) adv
дурной (2501, 43.51) adj
сердито (2508, 43.27) adv
жаркий (2512, 43.27) adj
интересоваться (2525, 43.11) verb
славный (2576, 42.39) adj
неприятность (2602, 41.91) noun
удача (2607, 41.83) noun
жестокий (2622, 41.59) adj
пережить (2632, 41.43) verb
отличный (2644, 41.27) adj
успокоить (2764, 39.58) verb
усталый (2794, 39.10) adj
ерунда (2813, 38.86) noun
дурацкий (2814, 38.86) adj
переживать (2836, 38.54) verb
гордиться (2854, 38.30) verb
глупо (2872, 38.05) adv
неприятно (2892, 37.73) adv
несчастье (2894, 37.73) noun
ругаться (2901, 37.65) verb
значительный (2914, 37.49) adj
достойный (2918, 37.49) adj
жалость (2919, 37.49) noun
великолепный (2929, 37.25) adj
радостный (2948, 37.09) adj
тупой (2957, 36.93) adj
грустный (2965, 36.85) adj
сердиться (2970, 36.77) verb
обижаться (2971, 36.77) verb
усталость (2972, 36.69) noun
уверенность (2974, 36.69) noun
угроза (2976, 36.69) noun
нелепый (2977, 36.69) adj
соглашаться (2981, 36.61) verb
стесняться (3017, 36.05) verb
наслаждение (3025, 36.05) noun
скандал (3051, 35.73) noun
мучить (3061, 35.57) verb
растерянно (3086, 35.24) adv
слабость (3103, 34.84) noun
безнадежный (3128, 34.44) adj
пугать (3149, 34.20) verb
осторожный (3153, 34.12) adj
напряженный (3155, 34.12) adj
гнев (3158, 34.04) noun
неудобно (3163, 34.04) adv
ярость (3179, 33.80) noun
жуткий (3180, 33.80) adj
облегчение (3182, 33.80) noun
влюбленный (3184, 33.80) adj
мучиться (3190, 33.72) verb
потрясти (3194, 33.72) verb
злость (3215, 33.48) noun
недовольный (3222, 33.40) adj
